classname,method,docstring,method_definition
org.jsoup.select.Evaluator.MatchesWholeText,toString(),,"@Override
        public String toString() {
            return String.format("":matchesWholeText(%s)"", pattern);
        }"
org.jsoup.select.Evaluator.MatchesWholeOwnText,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            Matcher m = pattern.matcher(element.wholeOwnText());
            return m.find();
        }"
org.jsoup.select.Evaluator.MatchesWholeOwnText,toString(),,"@Override
        public String toString() {
            return String.format("":matchesWholeOwnText(%s)"", pattern);
        }"
org.jsoup.select.Evaluator.MatchText,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            if (element instanceof PseudoTextElement)
                return true;

            List<TextNode> textNodes = element.textNodes();
            for (TextNode textNode : textNodes) {
                PseudoTextElement pel = new PseudoTextElement(
                    org.jsoup.parser.Tag.valueOf(element.tagName()), element.baseUri(), element.attributes());
                textNode.replaceWith(pel);
                pel.appendChild(textNode);
            }
            return false;
        }"
org.jsoup.select.Evaluator.MatchText,toString(),,"@Override
        public String toString() {
            return "":matchText"";
        }"
org.jsoup.select.Collector,"collect(Evaluator eval, Element root)","/**
     Build a list of elements, by visiting root and every descendant of root, and testing it against the evaluator.
     @param eval Evaluator to test elements against
     @param root root of tree to descend
     @return list of matches; empty if none
     */","public static Elements collect (Evaluator eval, Element root) {
        Elements elements = new Elements();
        NodeTraversor.traverse(new Accumulator(root, elements, eval), root);
        return elements;
    }"
org.jsoup.select.Collector.Accumulator,"void head(Node node, int depth)",,"public void head(Node node, int depth) {
            if (node instanceof Element) {
                Element el = (Element) node;
                if (eval.matches(root, el))
                    elements.add(el);
            }
        }"
org.jsoup.select.Collector.Accumulator,"void tail(Node node, int depth)",,"public void tail(Node node, int depth) {
            // void
        }"
org.jsoup.select.Collector,"findFirst(Evaluator eval, Element root)","/**
     Finds the first Element that matches the Evaluator that descends from the root, and stops the query once that first
     match is found.
     @param eval Evaluator to test elements against
     @param root root of tree to descend
     @return the first match; {@code null} if none
     */","public static @Nullable Element findFirst(Evaluator eval, Element root) {
        FirstFinder finder = new FirstFinder(eval);
        return finder.find(root, root);
    }"
org.jsoup.select.Collector.FirstFinder,"find(Element root, Element start)",,"@Nullable Element find(Element root, Element start) {
            evalRoot = root;
            match = null;
            NodeTraversor.filter(this, start);
            return match;
        }"
org.jsoup.select.Collector.FirstFinder,"head(Node node, int depth)",,"@Override
        public FilterResult head(Node node, int depth) {
            if (node instanceof Element) {
                Element el = (Element) node;
                if (eval.matches(evalRoot, el)) {
                    match = el;
                    return STOP;
                }
            }
            return CONTINUE;
        }"
org.jsoup.select.Collector.FirstFinder,"tail(Node node, int depth)",,"@Override
        public FilterResult tail(Node node, int depth) {
            return CONTINUE;
        }"
org.jsoup.select.NodeVisitor,"void head(Node node, int depth)","/**
     Callback for when a node is first visited.
     <p>The node may be modified (e.g. {@link Node#attr(String)}, replaced {@link Node#replaceWith(Node)}) or removed
     {@link Node#remove()}. If it's {@code instanceOf Element}, you may cast it to an {@link Element} and access those
     methods.</p>

     @param node the node being visited.
     @param depth the depth of the node, relative to the root node. E.g., the root node has depth 0, and a child node
     of that will have depth 1.
     */","void head(Node node, int depth);"
org.jsoup.select.NodeVisitor,"void tail(Node node, int depth)","/**
     Callback for when a node is last visited, after all of its descendants have been visited.
     <p>This method has a default no-op implementation.</p>
     <p>Note that neither replacement with {@link Node#replaceWith(Node)} nor removal with {@link Node#remove()} is
     supported during {@code tail()}.

     @param node the node being visited.
     @param depth the depth of the node, relative to the root node. E.g., the root node has depth 0, and a child node
     of that will have depth 1.
     */","default void tail(Node node, int depth) {
        // no-op by default, to allow just specifying the head() method
    }"
org.jsoup.select.CombiningEvaluator,rightMostEvaluator(),,"@Nullable Evaluator rightMostEvaluator() {
        return num > 0 ? evaluators.get(num - 1) : null;
    }"
org.jsoup.select.CombiningEvaluator,void replaceRightMostEvaluator(Evaluator replacement),,"void replaceRightMostEvaluator(Evaluator replacement) {
        evaluators.set(num - 1, replacement);
    }"
org.jsoup.select.CombiningEvaluator,void updateNumEvaluators(),,"void updateNumEvaluators() {
        // used so we don't need to bash on size() for every match test
        num = evaluators.size();
    }"
org.jsoup.select.CombiningEvaluator.And,"matches(Element root, Element node)",,"@Override
        public boolean matches(Element root, Element node) {
            for (int i = num - 1; i >= 0; i--) { // process backwards so that :matchText is evaled earlier, to catch parent query. todo - should redo matchText to virtually expand during match, not pre-match (see SelectorTest#findBetweenSpan)
                Evaluator s = evaluators.get(i);
                if (!s.matches(root, node))
                    return false;
            }
            return true;
        }"
org.jsoup.select.CombiningEvaluator.And,toString(),,"@Override
        public String toString() {
            return StringUtil.join(evaluators, """");
        }"
org.jsoup.select.CombiningEvaluator.Or,void add(Evaluator e),,"public void add(Evaluator e) {
            evaluators.add(e);
            updateNumEvaluators();
        }"
org.jsoup.select.CombiningEvaluator.Or,"matches(Element root, Element node)",,"@Override
        public boolean matches(Element root, Element node) {
            for (int i = 0; i < num; i++) {
                Evaluator s = evaluators.get(i);
                if (s.matches(root, node))
                    return true;
            }
            return false;
        }"
org.jsoup.select.CombiningEvaluator.Or,toString(),,"@Override
        public String toString() {
            return StringUtil.join(evaluators, "", "");
        }"
org.jsoup.select.StructuralEvaluator.Root,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return root == element;
        }"
org.jsoup.select.StructuralEvaluator.Has,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            // for :has, we only want to match children (or below), not the input element. And we want to minimize GCs
            for (int i = 0; i < element.childNodeSize(); i++) {
                Node node = element.childNode(i);
                if (node instanceof Element) {
                    Element match = finder.find(element, (Element) node);
                    if (match != null)
                        return true;
                }
            }
            return false;
        }"
org.jsoup.select.StructuralEvaluator.Has,toString(),,"@Override
        public String toString() {
            return String.format("":has(%s)"", evaluator);
        }"
org.jsoup.select.StructuralEvaluator.Not,"matches(Element root, Element node)",,"@Override
        public boolean matches(Element root, Element node) {
            return !evaluator.matches(root, node);
        }"
org.jsoup.select.StructuralEvaluator.Not,toString(),,"@Override
        public String toString() {
            return String.format("":not(%s)"", evaluator);
        }"
org.jsoup.select.StructuralEvaluator.Parent,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            if (root == element)
                return false;

            Element parent = element.parent();
            while (parent != null) {
                if (evaluator.matches(root, parent))
                    return true;
                if (parent == root)
                    break;
                parent = parent.parent();
            }
            return false;
        }"
